Number,State,Value,Param batch_size,Param d_ff,Param d_model,Param dropout,Param features,Param learning_rate,Param llm_layers,Param loss,Param lradj,Param n_heads,Param num_tokens,Param patch_len,Param pct_start,Param pred_len,Param seq_len,Param stride,UserAttribute dataset,UserAttribute granularity,UserAttribute target
47,COMPLETE,0.4930555555555556,16,256,48,0.2,S,0.006424585613244711,5,GMADL,constant,2,1000,12,0.30000000000000004,2,48,12,ret_h_4m.csv,hourly,returns
48,COMPLETE,0.5138888888888888,16,256,48,0.4,S,0.007393723017770312,11,GMADL,constant,8,1000,12,0.30000000000000004,2,48,12,ret_h_4m.csv,hourly,returns
49,PRUNED,,16,256,32,0.4,S,0.006561578603687681,12,GMADL,constant,2,1000,12,0.5,2,48,12,ret_h_4m.csv,hourly,returns
50,COMPLETE,0.5173611111111112,16,64,64,0.1,S,0.0005727585743657968,6,GMADL,constant,2,500,16,0.30000000000000004,2,48,12,ret_h_4m.csv,hourly,returns
51,PRUNED,,128,64,32,0.0,S,0.0001542596860463197,6,GMADL,constant,2,500,16,0.5,2,48,12,ret_h_4m.csv,hourly,returns
52,PRUNED,,32,32,64,0.1,S,0.0005476085644000641,8,GMADL,constant,8,500,16,0.30000000000000004,2,48,12,ret_h_4m.csv,hourly,returns
53,COMPLETE,0.478515625,32,256,32,0.1,S,0.0022470482157554194,4,MSE,type3,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
54,COMPLETE,0.494140625,32,256,32,0.1,S,0.004281839672712852,4,MSE,type3,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
55,COMPLETE,0.494140625,32,256,32,0.1,S,0.0023887914726317783,4,MSE,PEMS,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
56,COMPLETE,0.5078125,32,256,32,0.0,S,0.004255712384745563,4,MSE,PEMS,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
57,COMPLETE,0.494140625,32,256,32,0.0,S,0.0024020105292390606,4,MSE,PEMS,2,500,16,0.1,2,48,12,ret_h_4m.csv,hourly,returns
58,COMPLETE,0.484375,32,256,32,0.0,S,0.0015100347441728585,4,MSE,type3,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
59,COMPLETE,0.470703125,32,256,32,0.2,S,0.0015502331138001811,4,MSE,type3,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
60,COMPLETE,0.568359375,32,256,32,0.2,S,0.0017405297040222355,5,MSE,type3,2,100,16,0.5,2,36,12,ret_h_4m.csv,hourly,returns
61,COMPLETE,0.52734375,64,256,48,0.2,S,0.0003873193715536171,5,MSE,type3,2,100,16,0.5,2,24,12,ret_h_4m.csv,hourly,returns
62,COMPLETE,0.5208333333333334,8,256,48,0.2,S,0.0017154281295966147,4,MSE,type1,2,100,16,0.5,2,36,12,ret_h_4m.csv,hourly,returns
63,COMPLETE,0.48828125,32,256,32,0.2,S,0.0009995665760368134,4,MSE,type3,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
64,COMPLETE,0.47265625,32,256,32,0.1,S,0.0012806650502347576,4,MSE,type3,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
65,COMPLETE,0.501953125,32,256,32,0.1,S,0.0010275152801532425,4,MSE,type3,16,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
66,COMPLETE,0.498046875,32,256,32,0.1,S,0.0014060999360452203,4,MSE,type3,16,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
67,COMPLETE,0.486328125,32,256,32,0.0,S,0.0014148808285740228,5,MADL,type3,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
68,COMPLETE,0.517578125,32,256,32,0.0,S,0.001467097190677759,4,MSE,type3,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
69,COMPLETE,0.513671875,32,256,32,0.0,S,0.002679464469154952,4,MSE,TST,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
70,COMPLETE,0.486328125,32,256,32,0.0,S,0.002665917673558464,4,MSE,TST,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
71,PRUNED,,128,32,32,0.30000000000000004,S,0.0025690234995323917,4,MSE,TST,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
72,COMPLETE,0.498046875,32,256,32,0.1,S,0.0038540453100511583,5,MSE,type3,2,500,16,0.4,2,36,12,ret_h_4m.csv,hourly,returns
73,COMPLETE,0.48046875,32,256,16,0.1,S,0.0006685477983805857,5,MADL,type3,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
74,COMPLETE,0.48046875,32,256,16,0.1,S,1.7435510283356743e-05,5,MADL,type3,2,500,16,0.4,2,48,12,ret_h_4m.csv,hourly,returns
75,COMPLETE,0.521484375,32,128,16,0.1,S,0.0006385062476321978,5,MADL,type3,8,500,16,0.4,2,24,12,ret_h_4m.csv,hourly,returns
76,FAIL,,32,128,16,0.1,S,0.0007256751524297455,5,MADL,type3,2,500,16,0.4,2,24,12,ret_h_4m.csv,hourly,returns
77,FAIL,,8,128,16,0.1,S,1.1281424758173075e-05,5,MADL,type3,2,500,16,0.2,2,24,12,ret_h_4m.csv,hourly,returns
78,FAIL,,8,256,16,0.1,S,8.24919486743824e-05,6,MADL,type3,2,500,16,0.2,2,48,6,ret_h_4m.csv,hourly,returns
