Number,State,Value,Param batch_size,Param d_ff,Param d_model,Param dropout,Param features,Param learning_rate,Param llm_layers,Param loss,Param lradj,Param n_heads,Param num_tokens,Param patch_len,Param pct_start,Param pred_len,Param seq_len,Param stride,UserAttribute dataset,UserAttribute granularity,UserAttribute target
37,COMPLETE,0.486328125,32,128,64,0.2,M,0.00016109587079480623,7,MADL,constant,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
38,COMPLETE,0.501171886920929,32,128,48,0.4,M,0.0001880099742270414,7,GMADL,TST,2,100,16,0.2,6,24,12,ret_h_4m.csv,hourly,returns
39,COMPLETE,0.486328125,32,128,64,0.2,M,0.0006939766038535393,8,MADL,type3,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
40,PRUNED,,32,128,48,0.2,M,0.0007072398082726669,10,MADL,type3,2,100,16,0.1,2,24,6,ret_h_4m.csv,hourly,returns
41,COMPLETE,0.486328125,32,128,64,0.30000000000000004,M,0.00015985337305812373,8,MADL,type3,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
42,COMPLETE,0.486328125,32,128,64,0.30000000000000004,M,0.005747488475111409,8,MADL,type3,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
43,COMPLETE,0.486328125,32,128,64,0.30000000000000004,M,0.006272281464864749,8,MADL,type3,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
44,COMPLETE,0.486328125,32,128,64,0.30000000000000004,M,0.0024910462925810256,9,MADL,type3,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
45,COMPLETE,0.51953125,32,128,64,0.4,M,0.006289646815607278,8,MSE,type3,2,100,16,0.5,2,48,6,ret_h_4m.csv,hourly,returns
46,COMPLETE,0.49921876192092896,32,128,64,0.2,M,0.0016250248013290251,10,MADL,type3,2,100,16,0.5,6,24,12,ret_h_4m.csv,hourly,returns
47,COMPLETE,0.494140625,32,64,64,0.30000000000000004,M,0.003797797556629841,8,MADL,type3,2,100,16,0.2,2,24,6,ret_h_4m.csv,hourly,returns
48,COMPLETE,0.4921875,32,128,64,0.2,M,0.0036070900972625716,8,MADL,type3,2,100,16,0.5,2,36,6,ret_h_4m.csv,hourly,returns
49,COMPLETE,0.568359375,32,128,64,0.30000000000000004,M,0.000531458462900806,11,MADL,type3,2,100,16,0.5,2,24,6,ret_h_4m.csv,hourly,returns
